"","X","type","Paying","date","amount","purpose_scrubbed","Paid","purpose","property","city","state","year","month","latlong.x","latlong.y"
"904",904,"government","Department of Defense","2017-03-01",144.22,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"905",905,"government","Department of State","2017-03-02",14930.3,"Other","Trump Hotel Vancouver","N/A","Trump International Hotel & Tower Vancouver","Vancouver","British Columbia",2017,NA,NA,"49.286850:-123.124168"
"906",906,"government","Department of Defense","2017-03-02",922.05,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"907",907,"government","Department of Defense","2017-03-03",10,"Food","Trump Hotel Panama","Restaurant","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"908",908,"government","Department of Defense","2017-03-03",38.48,"Food","Trump Hotel Panama","Restaurant","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"909",909,"government","Department of Defense","2017-03-04",162.8,"Food","Trump Hotel D.C.","Restaurant","Trump International Hotel Washington D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"910",910,"government","Department of Defense","2017-03-05",57.17,"Food","Trump Hotel Honolulu","Drinking Place","Trump International Hotel Waikiki","Honolulu","HI",2017,NA,NA,"21.306944:-157.858337"
"911",911,"government","Department of Defense","2017-03-05",7051.2,"Lodging","Trump Golf Club Palm Beach","Hotels-Lodging","Trump National Golf Club Palm Beach","Palm Beach","FL",2017,NA,NA,"26.665794:-80.061525"
"912",912,"government","Department of Defense","2017-03-05",1469,"Lodging","Trump Golf Club Palm Beach","Hotels-Lodging","Trump National Golf Club Palm Beach","Palm Beach","FL",2017,NA,NA,"26.665794:-80.061525"
"913",913,"government","Department of Defense","2017-03-07",39.94,"Food","Trump Hotel Honolulu","Drinking Place","Trump International Hotel Waikiki","Honolulu","HI",2017,NA,NA,"21.306944:-157.858337"
"914",914,"government","Department of Defense","2017-03-07",141.88,"Food","Trump Hotel Honolulu","Drinking Place","Trump International Hotel Waikiki","Honolulu","HI",2017,NA,NA,"21.306944:-157.858337"
"915",915,"government","Department of Defense","2017-03-07",948,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"916",916,"government","Department of Defense","2017-03-09",158,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"917",917,"government","Department of Defense","2017-03-10",227.56,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"918",918,"government","Department of Defense","2017-03-10",158,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"919",919,"government","Department of Defense","2017-03-10",188.5,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"920",920,"government","Department of Defense","2017-03-10",144.22,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"921",921,"government","Department of Defense","2017-03-10",158,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"922",922,"government","Department of Defense","2017-03-10",38.17,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"923",923,"government","Department of Defense","2017-03-10",158,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"924",924,"government","Department of Defense","2017-03-10",268,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"925",925,"government","Department of Defense","2017-03-10",158,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"926",926,"government","Department of Defense","2017-03-10",22,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"927",927,"government","Department of Defense","2017-03-10",158,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"928",928,"government","Department of Defense","2017-03-11",316,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"929",929,"government","Department of State","2017-03-13",7421.69,"Other","Trump Golf Club Doonberg","N/A","Trump International Golf Links and Hotel Ireland","Doonberg","Ireland",2017,NA,NA,"52.757504:-9.512598"
"930",930,"government","Department of State","2017-03-13",9312.17,"Other","Trump Golf Club Doonberg","N/A","Trump International Golf Links and Hotel Ireland","Doonberg","Ireland",2017,NA,NA,"52.757504:-9.512598"
"931",931,"government","Department of Defense","2017-03-16",306.61,"Food","Trump Golf Club Palm Beach","Restaurant","Trump National Golf Club","561-8322600","FL",2017,NA,NA,"26.665794:-80.061525"
"932",932,"government","Department of Defense","2017-03-18",43.5,"Food","Trump Hotel D.C.","Restaurant","Trump International Hotel Washington D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"933",933,"government","Department of Defense","2017-03-19",1469,"Lodging","Trump Golf Club Palm Beach","Hotels-Lodging","Trump National Golf Club","Palm Beach","FL",2017,NA,NA,"26.665794:-80.061525"
"934",934,"government","Department of Defense","2017-03-19",7051.2,"Lodging","Trump Golf Club Palm Beach","Hotels-Lodging","Trump National Golf Club","Palm Beach","FL",2017,NA,NA,"26.665794:-80.061525"
"935",935,"government","Department of Defense","2017-03-23",158,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"936",936,"government","Department of Defense","2017-03-23",169.43,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"937",937,"government","Department of Defense","2017-03-23",306.73,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","",2017,NA,NA,"8.982379:-79.519867"
"938",938,"government","Department of Defense","2017-03-23",182.42,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","",2017,NA,NA,"8.982379:-79.519867"
"939",939,"government","Department of Defense","2017-03-23",158,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"940",940,"government","Department of Defense","2017-03-23",293.62,"Food","Trump Golf Club Palm Beach","Restaurant","Trump National Golf Club Palm Beach","Palm Beach","FL",2017,NA,NA,"26.665794:-80.061525"
"941",941,"government","Department of Defense","2017-03-24",1313.39,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"942",942,"government","Department of Defense","2017-03-24",227.7,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"943",943,"government","Department of Defense","2017-03-26",10.6,"Food","Trump Hotel NY","Restaurant","Trump Tower Hotel New York","New York","NY",2017,NA,NA,"40.769112:-73.981621"
"944",944,"government","Department of Defense","2017-03-26",417,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"945",945,"government","Coast Guard","2017-03-27",186.17,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"946",946,"government","Department of Defense","2017-03-31",2189.88,"Lodging","Trump Golf Club Palm Beach","Hotels-Lodging","Trump National Golf Club Palm Beach","Palm Beach","FL",2017,NA,NA,"26.665794:-80.061525"
"947",947,"government","Department of Defense","2017-03-31",5000,"Lodging","Trump Golf Club Palm Beach","Hotels-Lodging","Trump National Golf Club Palm Beach","Palm Beach","FL",2017,NA,NA,"26.665794:-80.061525"
"948",948,"government","Department of Defense","2017-04-02",25.55,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"949",949,"government","Department of Commerce","2017-04-04",277.09,"Other","Trump Hotel D.C.","Redacted (Visa charge)","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"950",950,"government","Department of Defense","2017-04-04",5.62,"Food","Trump Hotel NY","Restaurant","Trump Tower Hotel New York","New York","NY",2017,NA,NA,"40.769112:-73.981621"
"951",951,"government","Department of Defense","2017-04-04",277.09,"Lodging","Trump Hotel D.C.","Hotels-Lodging","Trump International Hotel Washington D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"952",952,"government","Department of Defense","2017-04-04",158,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"953",953,"government","Department of Defense","2017-04-05",6.71,"Food","Trump Hotel Panama","Restaurant","Trump International Hotel & Tower Panama","San Francisco","CA",2017,NA,NA,"8.982379:-79.519867"
"954",954,"government","Department of Defense","2017-04-06",8.21,"Food","Trump Hotel Panama","Restaurant","Trump International Hotel & Tower Panama","San Francisco","CA",2017,NA,NA,"8.982379:-79.519867"
"955",955,"government","Department of Defense","2017-04-06",5.35,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"956",956,"government","Department of Defense","2017-04-06",632,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"957",957,"government","Department of Defense","2017-04-06",32.15,"Food","Trump Hotel Panama","Restaurant","Trump International Hotel & Tower Panama","San Francisco","CA",2017,NA,NA,"8.982379:-79.519867"
"958",958,"government","Department of Defense","2017-04-06",17.16,"Food","Trump Hotel Panama","Restaurant","Trump International Hotel & Tower Panama","San Francisco","CA",2017,NA,NA,"8.982379:-79.519867"
"959",959,"government","Department of Defense","2017-04-07",15.95,"Food","Trump Hotel NY","Restaurant","Trump Tower Hotel New York","New York","NY",2017,NA,NA,"40.769112:-73.981621"
"960",960,"government","Department of Defense","2017-04-07",89.88,"Food","Trump Golf Club Palm Beach","Restaurant","Trump National Golf Club Palm Beach","Palm Beach","FL",2017,NA,NA,"26.665794:-80.061525"
"961",961,"government","Department of Defense","2017-04-07",25.51,"Food","Trump Hotel Panama","Restaurant","Trump International Hotel & Tower Panama","San Francisco","CA",2017,NA,NA,"8.982379:-79.519867"
"962",962,"government","Department of Defense","2017-04-07",11.42,"Food","Trump Hotel Panama","Restaurant","Trump International Hotel & Tower Panama","San Francisco","CA",2017,NA,NA,"8.982379:-79.519867"
"963",963,"government","Department of Defense","2017-04-07",18.17,"Food","Trump Hotel Panama","Restaurant","Trump International Hotel & Tower Panama","San Francisco","CA",2017,NA,NA,"8.982379:-79.519867"
"964",964,"government","Department of Defense","2017-04-07",584.33,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"965",965,"government","Department of Defense","2017-04-07",89.88,"Food","Trump Golf Club Palm Beach","Restaurant","Trump National Golf Club Palm Beach","Palm Beach","FL",2017,NA,NA,"26.665794:-80.061525"
"966",966,"government","Department of Commerce","2017-04-09",35.09,"Other","Trump Hotel D.C.","DC Occupancy Sales Tax","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"967",967,"government","Department of Defense","2017-04-09",2938,"Lodging","Trump Golf Club Palm Beach","Hotels-Lodging","Trump National Golf Club Palm Beach","Palm Beach","FL",2017,NA,NA,"26.665794:-80.061525"
"968",968,"government","Department of Defense","2017-04-09",9401.6,"Lodging","Trump Golf Club Palm Beach","Hotels-Lodging","Trump National Golf Club Palm Beach","Palm Beach","FL",2017,NA,NA,"26.665794:-80.061525"
"969",969,"government","Department of Commerce","2017-04-09",242,"Lodging","Trump Hotel D.C.","Hotels-Lodging ","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"970",970,"government","Department of Commerce","2017-04-10",242,"Lodging","Trump Hotel D.C.","Hotels-Lodging ","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"971",971,"government","Department of Commerce","2017-04-10",56,"Other","Trump Hotel D.C.","Valet Parking","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"972",972,"government","Department of Commerce","2017-04-10",120.1,"Food","Trump Hotel D.C.","BLT Dinner","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"973",973,"government","Department of Defense","2017-04-10",1422,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"974",974,"government","Department of Commerce","2017-04-10",35.09,"Other","Trump Hotel D.C.","DC Occupancy Sales Tax","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"975",975,"government","Department of Defense","2017-04-11",171.43,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"976",976,"government","Department of Commerce","2017-04-11",35.09,"Other","Trump Hotel D.C.","DC Occupancy Sales Tax","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"977",977,"government","Department of Commerce","2017-04-11",61.4,"Food","Trump Hotel D.C.","Benjamin Dinner","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"978",978,"government","Department of Commerce","2017-04-11",242,"Lodging","Trump Hotel D.C.","Hotels-Lodging ","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"979",979,"government","Department of Commerce","2017-04-11",32,"Food","Trump Hotel D.C.","Benjamin Dinner","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"980",980,"government","Borough of Barrington, New Jersey","2017-04-11",400,"Events","Trump Golf Club","Lease or rental of conference space or facilities","Trump National Golf Club, Philadelphia","","",2017,NA,NA,"40.762459:-73.973869"
"981",981,"government","Department of Commerce","2017-04-11",56,"Other","Trump Hotel D.C.","Valet Parking","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"982",982,"government","Department of Defense","2017-04-12",1580,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"983",983,"government","Department of Defense","2017-04-12",632,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"984",984,"government","Department of Commerce","2017-04-12",35.09,"Other","Trump Hotel D.C.","DC Occupancy Sales Tax","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"985",985,"government","Department of Defense","2017-04-12",1926.5,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"986",986,"government","Department of Commerce","2017-04-12",76.9,"Food","Trump Hotel D.C.","Benjamin Dinner","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"987",987,"government","Department of Commerce","2017-04-12",56,"Other","Trump Hotel D.C.","Valet Parking","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"988",988,"government","Department of Commerce","2017-04-12",242,"Lodging","Trump Hotel D.C.","Hotels-Lodging ","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"989",989,"government","Department of Defense","2017-04-12",246.01,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"990",990,"government","Department of Defense","2017-04-12",1580,"Lodging","Trump Hotel Panama","Hotels-Lodging","Trump International Hotel & Tower Panama","Panama City","Panama",2017,NA,NA,"8.982379:-79.519867"
"991",991,"government","Department of Defense","2017-04-13",115.65,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"992",992,"government","Department of Defense","2017-04-13",171.02,"Lodging","Trump Soho NY","Hotels-Lodging","Trump Hotel SoHo","New York","NY",2017,NA,NA,"40.725544:-74.005272"
"993",993,"government","Department of Commerce","2017-04-13",56,"Other","Trump Hotel D.C.","Valet Parking","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"994",994,"government","Department of Defense","2017-04-13",115.65,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"995",995,"government","Department of Commerce","2017-04-13",35.09,"Other","Trump Hotel D.C.","DC Occupancy Sales Tax","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"996",996,"government","Department of Defense","2017-04-13",63.25,"Other","Trump Hotel Honolulu","Financial Institution","Trump International Hotel Las Vegas","Honolulu","HI",2017,NA,NA,"21.306944:-157.858337"
"997",997,"government","Department of Defense","2017-04-13",62.06,"Lodging","Trump Soho NY","Hotels-Lodging","Trump Hotel SoHo","New York","NY",2017,NA,NA,"40.725544:-74.005272"
"998",998,"government","Department of Commerce","2017-04-13",242,"Lodging","Trump Hotel D.C.","Hotels-Lodging ","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"999",999,"government","Department of Commerce","2017-04-14",46.6,"Food","Trump Hotel D.C.","Benjamin Dinner","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"1000",1000,"government","Department of Commerce","2017-04-14",56,"Other","Trump Hotel D.C.","Valet Parking","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"1001",1001,"government","Department of Commerce","2017-04-14",242,"Lodging","Trump Hotel D.C.","Hotels-Lodging ","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"1002",1002,"government","Department of Commerce","2017-04-14",35.09,"Other","Trump Hotel D.C.","DC Occupancy Sales Tax","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"1003",1003,"government","Department of Commerce","2017-04-14",84.4,"Food","Trump Hotel D.C.","Benjamin Dinner","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"1004",1004,"government","Department of Commerce","2017-04-15",56,"Other","Trump Hotel D.C.","Valet Parking","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"1005",1005,"government","Department of Commerce","2017-04-15",35.09,"Other","Trump Hotel D.C.","DC Occupancy Sales Tax","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"1006",1006,"government","Department of Commerce","2017-04-15",242,"Lodging","Trump Hotel D.C.","Hotels-Lodging ","Trump International Hotel Washington, D.C.","Washington","DC",2017,NA,NA,"38.894508:-77.027603"
"1007",1007,"government","Department of Defense","2017-04-17",2080,"Lodging","Trump Golf Club Palm Beach","Hotels-Lodging","Trump National Golf Club Palm Beach","Palm Beach","FL",2017,NA,NA,"26.665794:-80.061525"
"1008",1008,"government","Department of Defense","2017-04-17",1560,"Lodging","Trump Golf Club Palm Beach","Hotels-Lodging","Trump National Golf Club Palm Beach","Palm Beach","FL",2017,NA,NA,"26.665794:-80.061525"
"1009",1009,"government","Coast Guard","2017-04-18",1092,"Lodging","Trump Golf Club Palm Beach","Hotels-Lodging","Trump National Golf Club Palm Beach","Palm Beach","FL",2017,NA,NA,"26.665794:-80.061525"
"1010",1010,"government","Department of Defense","2017-04-22",98.64,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1011",1011,"government","Department of Defense","2017-04-24",502.57,"Lodging","Trump Hotel Honolulu","Hotels-Lodging","Trump International Hotel Waikiki","Honolulu","HI",2017,NA,NA,"21.306944:-157.858337"
"1012",1012,"government","Department of Defense","2017-04-24",502.57,"Lodging","Trump Hotel Honolulu","Hotels-Lodging","Trump International Hotel Waikiki","Honolulu","HI",2017,NA,NA,"21.306944:-157.858337"
"1013",1013,"government","Department of Defense","2017-04-25",2.12,"Food","Trump Hotel NY","Restaurant","Trump Tower Hotel New York","New York","NY",2017,NA,NA,"40.769112:-73.981621"
"1014",1014,"government","Department of Defense","2017-04-25",44,"Other","Trump Hotel Las Vegas","Financial Institution","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1015",1015,"government","Department of Defense","2017-04-25",104,"Other","Trump Hotel Las Vegas","Financial Institution","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1016",1016,"government","Department of Defense","2017-04-25",11.74,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1017",1017,"government","Department of Defense","2017-04-25",22.49,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1018",1018,"government","Department of Defense","2017-04-25",204,"Other","Trump Hotel Las Vegas","Financial Institution","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1019",1019,"government","Department of Defense","2017-04-26",181.41,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1020",1020,"government","Department of Defense","2017-04-26",204,"Other","Trump Hotel Las Vegas","Financial Institution","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1021",1021,"government","Department of Defense","2017-04-26",204,"Other","Trump Hotel Las Vegas","Financial Institution","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1022",1022,"government","Department of Defense","2017-04-26",115.65,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1023",1023,"government","Department of Defense","2017-04-27",445.59,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1024",1024,"government","Department of Defense","2017-04-27",593.65,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1025",1025,"government","Department of Defense","2017-04-27",21.49,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1026",1026,"government","Department of Defense","2017-04-27",15.16,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1027",1027,"government","Department of Defense","2017-04-27",10.74,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1028",1028,"government","Department of Defense","2017-04-27",41.66,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1029",1029,"government","Department of Defense","2017-04-27",445.59,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1030",1030,"government","Department of Defense","2017-04-27",742.65,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1031",1031,"government","Department of Defense","2017-04-27",594.12,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1032",1032,"government","Department of Defense","2017-04-27",594.12,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1033",1033,"government","Department of Defense","2017-04-27",71.7,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1034",1034,"government","Department of Defense","2017-04-27",445.59,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1035",1035,"government","Department of Defense","2017-04-28",594.12,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1036",1036,"government","Department of Defense","2017-04-28",685.35,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1037",1037,"government","Department of Defense","2017-04-28",594.12,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1038",1038,"government","Department of Defense","2017-04-28",742.65,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1039",1039,"government","Department of Defense","2017-04-28",699.51,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1040",1040,"government","Department of Defense","2017-04-28",776.07,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1041",1041,"government","Department of Defense","2017-04-28",20.3,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
"1042",1042,"government","Department of Defense","2017-04-28",594.12,"Lodging","Trump Hotel Las Vegas","Hotels-Lodging","Trump International Hotel Las Vegas","Las Vegas","NV",2017,NA,NA,"36.127804:-115.167915"
